timestamp, Sun Apr 22 23:46:59 2001 PT
Yahoo! Sports http://sports.yahoo.com, The data is for personal use only and any reproduction or distribution for commercial purposes is expressly prohibited.
ID,TEAM,NAME,FULLNAME,STATUS,POS,AVG,BAT,HIT,DOUBLE,TRIPLE,HOMER,WALK,STEAL,HAND,CAUGHT,SAC_HIT,SAC_FLY,ERROR,RUN,RBI,PASSED,SO,GAMES,SLUGGING,HIT_BY,ON_BASE,ERA,WIN,LOSS,SAVE,INNING,H,BB,K,HR,R,ER,HIT_BAT,WP,BALK,WINNING,START,COMPLETE,SHUTOUT
1032,OAK,Lidle,Cory Lidle,A,SP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,2,0,0,0,7.71,0,1,0,9.1,13,5,5,2,9,8,1,1,0,0,2,0,0
1062,HOU,B Wagner,Billy Wagner,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,7,4,1,9,0,0,0,0,1,0,0,0,0,0
1105,LOS,M Herges,Matt Herges,A,RP,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,6,0,0,0,1.64,0,1,0,10,8,5,9,1,2,2,0,0,0,0,0,0,0
1212,TOR,Sirotka,Mike Sirotka,I,SP,0,0,0,0,0,0,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,PIT,Ma Wilkins,Marc Wilkins,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,11.05,0,0,0,7.1,10,5,4,2,9,9,0,2,0,0,0,0,0
1284,DET,Nitkowski,Cj Nitkowski,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,6.23,0,1,0,7.2,9,3,8,0,6,6,1,1,0,0,0,0,0
1441,OAK,Isringhausen,Jason Isringhausen,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,5.1,3,1,6,0,0,0,0,0,0,0,0,0,0
1473,BAL,Maduro,Calvin Maduro,M,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,4,0,0,0,4.91,0,1,0,7.1,8,4,6,1,4,4,0,0,0,0,0,0,0
1542,MIL,Buddie,Mike Buddie,M,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549,NYY,Mendoza,Ramiro Mendoza,A,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,5,0,0,0,4.15,1,0,1,8.1,10,1,3,0,4,4,0,0,0,1000,0,0,0
1570,FLA,Alfonseca,Antonio Alfonseca,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,1.13,0,1,3,8,8,6,3,0,1,1,0,1,0,0,0,0,0
1572,MIL,Cunnane,Will Cunnane,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,3.12,0,1,0,8,9,5,5,0,3,3,1,0,0,0,0,0,0
1580,HOU,Ja Powell,Jay Powell,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,4,1,1,0,9,10,2,6,2,4,4,0,0,0,500,0,0,0
1601,PHI,Gomes,Wayne Gomes,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,0,0.73,2,0,0,11,10,3,9,0,1,1,0,0,0,1000,0,0,0
1631,KAN,Suppan,Jeff Suppan,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,4.13,1,2,0,24,24,12,18,4,11,11,0,1,0,333,4,0,0
1737,STL,D Hermanson,Dustin Hermanson,A,SP,250,8,2,1,0,0,1,0,,0,1,0,0,1,1,0,5,3,375,0,333,7.17,1,1,0,14.1,23,11,8,7,20,15,2,1,0,500,3,0,0
1759,COL,J Wasdin,John Wasdin,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,10.57,1,0,0,7.2,11,5,6,4,9,9,1,1,0,1000,0,0,0
1811,BAL,Trombley,Mike Trombley,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,0,2.45,1,0,0,10.1,6,3,11,0,3,3,0,0,0,1000,0,0,0
1857,NYM,D Wall,Donne Wall,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,3.38,0,1,0,8,7,7,7,0,3,3,1,1,0,0,0,0,0
1906,LOS,Olson,Gregg Olson,A,RP,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,7,0,0,0,4.05,0,1,0,5.2,3,5,7,0,3,1,0,0,0,0,0,0,0
1929,ANA,Levine,Al Levine,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,9.2,3,1,9,0,2,0,0,0,0,0,0,0,0
2059,TAM,Rekar,Bryan Rekar,A,SP,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,4,0,0,0,4.37,0,2,0,22.2,25,7,15,3,17,11,1,0,0,0,4,0,0
2079,ARI,M Batista,Miguel Batista,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,4.15,0,0,0,8.2,8,2,3,0,5,4,0,1,0,0,0,0,0
2090,ATL,M Valdes,Marc Valdes,A,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,6,0,0,0,5.79,1,0,0,4.2,4,1,2,2,3,3,0,0,0,1000,0,0,0
2108,NYM,R Reed,Rick Reed,A,SP,182,11,2,0,0,0,0,0,,0,1,0,0,1,2,0,3,3,182,0,182,1.99,2,1,0,25,20,1,14,2,7,6,0,1,0,750,3,2,0
2116,CIN,Sullivan,Scott Sullivan,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,0,7.2,1,1,0,8,16,5,9,3,10,7,0,0,0,500,0,0,0
2171,TAM,Creek,Doug Creek,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,3.6,1,0,0,6.2,8,2,7,2,4,4,0,1,0,1000,0,0,0
2181,TEX,Petkovsek,Mark Petkovsek,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,9.9,0,0,0,10,15,3,8,2,11,11,1,1,0,0,0,0,0
2377,MIN,Travis Mille,Travis Miller,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,6.75,0,0,0,2.2,3,2,0,0,3,2,0,1,0,0,0,0,0
2403,DET,Moehler,Brian Moehler,I,SP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,1,0,0,0,3.38,0,0,0,8,6,1,2,0,3,3,0,0,0,0,1,0,0
2423,SEA,P Abbott,Paul Abbott,A,SP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2498,ANA,Bruske,Jim Bruske,M,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
